,0
nyata miskin,1
miskin itu,1
itu memang,1
memang enggak,1
enggak bisa,4
bisa berantas,1
berantas atau,1
atau memang,1
memang perintah,1
perintah yang,1
enggak mampu,1
mampu berantas,1
berantas program,1
mbg cuma,1
cuma lipur,1
lipur lara,1
lara bagi,1
bagi rakyat,1
rakyat miskin,1
miskin padahal,1
padahal dapat,1
dapat mereka,1
mereka makin,1
makin gerus,1
gerus dengan,1
dengan naik,1
naik pajak,1
pajak harga,1
harga butuh,1
butuh pokok,2
pokok yang,1
yang makin,1
makin naik,1
naik sangat,1
sangat kontras,1
kontras emang,1
luar konteks,1
konteks bahas,1
mbg buka,1
buka mega,1
dek makanbergizigratis,1
makanbergizigratis nya,1
nya jangan,1
jangan diabisin,1
diabisin ya,1
ya nanti,1
nanti sakit,1
sakit enggak,1
bisa karya,1
karya lagi,1
susah 58,1
58 rakyat,1
rakyat indonesia,1
indonesia lebih,1
lebih pilih,1
pilih kenyang,1
kenyang karena,1
karena makansianggratis,1
dari pada,2
pada didik,1
didik yang,1
yang cerdas,1
cerdas bangsa,1
ngapain kasih,1
kasih gaji,1
gaji guru,1
guru layak,1
layak mending,1
mending bayar,1
bayar dc,1
dc dan,1
dan bnsr,1
bnsr buat,1
buat kawal,1
kawal makansianggratis,1
ini orang,2
orang enggak,1
enggak ngikuti,1
ngikuti instruksi,1
instruksi bos,1
bos kali,1
kali klo,1
klo mbg,1
mbg ambil,1
ambil cuma,1
cuma dari,1
dari apbn,2
gilir di,1
di tawarin,1
tawarin internet,1
internet gratis,1
gratis malah,1
malah kalian,1
kalian milih,1
milih makansianggratis,1
makansianggratis hahahhaha,1
emang biadab,1
biadab oknum2,1
oknum2 yang,1
yang korupsi,1
korupsi program,1
mbg presiden,2
submit form,1
form mbg,1
mbg dh,1
dh ke,1
ke membe,1
membe pernah,1
pernah kene,1
kene jgk,1
jgk ni,1
ni lepas,1
lepas ni,1
ni dapat,1
dapat result,1
result tu,1
tu proses,1
proses je,1
je lmbt,1
lmbt skit,1
skit brader,1
kayak mbg,1
ini lebih,1
lebih parah,1
parah deh,1
isengiseng nanya,1
nanya ke,1
ke murid,1
murid ada,1
ada atau,1
atau tidak,1
tidak makansianggratis,1
makansianggratis di,2
di sekolah,3
sekolah trus,1
trus ada,1
yang nyeletuk,1
nyeletuk apa,1
apa yang,4
yang gratis,3
gratis anggar,1
anggar dari,2
dari uang,1
uang kas,1
kas mana,1
mana makan,1
makan gitu,1
gitu lagi,1
lagi mau,1
mau marahin,1
marahin tapi,1
tapi dagu,1
dagu w,1
w jele,1
pantesan ada,1
sd ngeluh,1
ngeluh mbg,1
nya ngga,1
ngga enak,1
enak nyata,1
nyata krn,1
krn presiden,1
presiden lagi,1
lagi ousing,1
ousing bikin,1
bikin repot,3
repot oleh,1
oleh mantan,1
mantan presiden,1
ya allah,1
allah makasih,1
makasih ya,1
ya aku,1
aku udahh,1
udahh lulus,1
lulus di,1
di tahun,1
tahun 2023,1
2023 jadi,1
jadi aku,1
enggak harus,1
harus rasa,1
rasa makansianggratis,1
yang kayak,1
kayak makan,1
makan enggak,3
enggak layak,2
layak itu,1
jangan bocah,1
bocah kelas,1
kelas 2,1
2 gw,1
gw yang,1
yang 23tahun,1
23tahun saja,1
saja males,1
males makan,1
makan kalau,1
kalau menu,2
menu nya,2
nya begini,1
begini anyep,1
anyep cuy,1
cuy gue,1
gue tipe,1
tipe orng,1
orng yang,1
yang suka,1
suka menu,1
menu itu,1
itu variasi,1
variasi warna,1
warna pls,1
pls kalau,1
kalau emang,1
emang mau,1
mau terus,1
terus di,1
di lanjutin,1
lanjutin ni,1
ni mbg,1
mbg cari,1
cari vendor,1
vendor catering,1
catering yang,1
yang bener,1
bener bukan,1
bukan aji,1
aji mumpung,1
mumpung doang,1
kalau sampe,1
sampe mbg,1
yang racun,1
racun ya,1
ya arti,1
arti harus,1
harus usut,1
usut vendor,1
vendor nya,2
nya atau,1
atau suppliernya,1
suppliernya ada,1
ada unsur,1
unsur lalai,1
lalai atau,1
atau curang,1
curang terus,1
terus habis,1
habis itu,1
itu ganti,1
ganti sama,1
sama vendor,1
vendor yang,1
yang lebih,1
lebih percaya,1
percaya tapi,1
tapi itu,1
itu cma,1
cma angan2,1
angan2 yang,1
yang lampau,1
lampau tinggi,1
tinggi utk,1
utk realisasi,1
ini aneh,1
aneh knp,1
knp harus,1
harus pake,1
pake vendor,1
vendor luar,1
luar knp,1
knp enggak,1
enggak libat,1
libat kantin,1
kantin atau,1
atau apa,1
yang sdh,1
sdh ada,1
ada di,2
sekolah aneh,1
aneh bgt,1
